
   rstudent  dffits cook.d  cov.r tau2.del  QE.del    hat  weight    dfbs inf 
1   -0.1486 -0.0892 0.0088 1.2115   0.0118 39.8761 0.0821  8.2140 -0.0888     
2   -0.0656 -0.0775 0.0072 1.2904   0.0123 37.9321 0.1149 11.4904 -0.0790     
3   -0.9219 -0.3512 0.1308 1.1824   0.0108 37.1178 0.1177 11.7687 -0.3537     
4    2.5304  0.8106 0.5147 0.7270   0.0057 27.7757 0.0631  6.3108  0.8657   * 
5    0.6003  0.1386 0.0197 1.1053   0.0107 38.3694 0.0612  6.1175  0.1379     
6   -0.6456 -0.1936 0.0391 1.1330   0.0111 39.8966 0.0599  5.9907 -0.1917     
7   -0.4180 -0.1450 0.0223 1.1559   0.0113 40.0584 0.0632  6.3233 -0.1435     
8   -1.7422 -0.5527 0.2309 0.9242   0.0074 27.0980 0.1156 11.5595 -0.5340     
9    1.1092  0.3671 0.1275 1.0322   0.0093 33.6299 0.0857  8.5663  0.3675     
10   1.3506  0.4029 0.1511 0.9724   0.0088 34.4889 0.0675  6.7490  0.4078     
11  -0.0145 -0.0461 0.0023 1.1972   0.0116 39.6947 0.0772  7.7162 -0.0458     
12  -0.6498 -0.2417 0.0637 1.1965   0.0114 39.8820 0.0919  9.1937 -0.2421     

